City;Inf_Clothing;Inf_Footwear;Inf_Eduaction_Services;Inf_Basic_Education;Inf_Middle_Education;Inf_Higher_Education;Inf_Household;Inf_Furnitures_Equipment;Inf_Household_Textiles;Inf_Household_Tools;Inf_Tableware;Inf_Housing_Equipment;Inf_Household_Services;Inf_Health;Inf_Health_Medicines_Products;Inf_Outpatient_Services;Inf_Inpatient_Services;Inf_Water_Electricity_Household;Inf_House_Rent;Inf_House_Maintenance;Inf_Water_Supply;Inf_Electricity_Supply;Inf_Financial_Services;Inf_Communication_Equipment;Inf_Communication_Services;Inf_Personal_Care;Inf_Food_Baverages_Services;Inf_Recreation_Sports_Culture;Inf_School_Supplies;Inf_recreation_Sport_Servoces;Inf_Transportation;Inf_Vehicle_Purchase;Inf_Personal_Transportation;Inf_Passenger_Transportation;Inf_Freight_Forwading_Services
BANYUWANGI;2.098;0.791;2.469;2.061;2.947;3.19;0.252;1.291;0.129;0.544;0;0.687;0.356;2.943;5.088;1.105;0;0.179;0.056;0.926;0;0.635;0.506;2.242;0.256;7.49;1.004;1.719;4.467;0;2.295;3.799;0.798;4.986;0
KAB BOJONEGORO;1.858;0.786;1.217;1.784;0.456;0;1.134;3.556;2.872;0.2;0.75;2.141;0.621;4.71;5.602;3.606;4.409;0.689;0.31;0.541;1.278;0.955;0.37;1.582;0;4.491;4.995;4.738;1.494;12.366;1.021;1.076;0.717;4.372;8.161
KAB GRESIK;3.664;9.741;1.16;1.876;0.356;0.711;0.49;4.44;1.729;0.583;2.553;0.819;1.954;2.991;2.165;1.168;7.832;0.653;1.967;2.081;0;1.044;0.671;3.556;0;1.52;4.966;0.26;0.47;0;1.152;1.99;0.571;3.35;0
SUMENEP;2.218;4.855;2.349;5.973;0.657;1.785;1.286;1.17;1.504;3.202;4.023;0.258;0.376;1.889;3.408;1.217;0;0.941;1.419;0.365;9.999;0.262;0.416;1.363;0.128;9.311;2.237;0.807;1.946;0;0.781;2.69;0.555;1.774;0
KOTA KEDIRI;0.409;0.701;1.004;0.838;2.251;0.74;0.209;0.245;0.245;1.496;3.018;0.61;0.911;0.371;0.282;0.954;0;0.399;0.364;0.928;1.574;0.114;0.513;0.536;0.606;4.209;2.149;0.19;0.586;0;0.476;0.196;0.385;3.199;8.536
KOTA MALANG;3.134;1.122;1.35;2.136;0.934;1.351;0.793;0.985;1.271;3.424;1.952;0.838;0.215;2.633;1.923;1.022;4.224;0.231;0.658;0.694;0;0;0.223;0.517;0.457;5.913;0.807;0.754;1.32;0.593;0.722;1.359;0.658;1.261;3
KOTA PROBOLINGGO;2.33;1.064;1.411;3.77;0.924;1.067;1.854;3.739;0.328;0.264;0.03;0;1.916;1.58;2.535;2.22;0;0.726;0.787;3.04;0;0.023;0.879;2.705;0.442;6.813;2.992;1.312;3.246;0;0.956;0.46;1.225;2.561;0
KOTA MADIUN;0.884;0.91;1.456;1.49;0.31;0;0.292;1.473;1.142;0.987;1.175;1.667;0.234;1.222;0.873;0.208;2.163;0.156;0;0.213;0.288;0.555;0.31;3.246;0.742;2.221;2.437;0.315;0.636;0;1.551;2.412;1.296;3.033;2.209
KOTA SURABAYA;3.086;3.376;1.669;2.338;1.362;2.201;1.635;2.32;1.658;2.2;4.822;4.715;0.809;2.218;4.214;0.917;0;0.738;1.138;2.669;0;0.015;0.511;1.824;0.29;5.155;1.704;0.936;1.844;0.018;1.584;2.694;0.846;2.3;0
KAB PANDEGLANG;1.438;3.327;0.685;2.216;0.1;0;3.644;1.792;2.375;1.364;20.514;1.356;4.132;2.88;5.533;3.347;0;0.344;0.44;1.379;0;0.322;0.51;3.928;0;2.994;3.962;2.248;3.698;0.616;0.741;3.267;0.368;1.211;1.866
