City;Inf_Clothing;Inf_Footwear;Inf_Eduaction_Services;Inf_Basic_Education;Inf_Middle_Education;Inf_Higher_Education;Inf_Household;Inf_Furnitures_Equipment;Inf_Household_Textiles;Inf_Household_Tools;Inf_Tableware;Inf_Housing_Equipment;Inf_Household_Services;Inf_Health;Inf_Health_Medicines_Products;Inf_Outpatient_Services;Inf_Inpatient_Services;Inf_Water_Electricity_Household;Inf_House_Rent;Inf_House_Maintenance;Inf_Water_Supply;Inf_Electricity_Supply;Inf_Financial_Services;Inf_Communication_Equipment;Inf_Communication_Services;Inf_Personal_Care;Inf_Food_Baverages_Services;Inf_Recreation_Sports_Culture;Inf_School_Supplies;Inf_recreation_Sport_Servoces;Inf_Transportation;Inf_Vehicle_Purchase;Inf_Personal_Transportation;Inf_Passenger_Transportation;Inf_Freight_Forwading_Services
KAB TOLI TOLI;0.701;8.335;0.095;0;0.465;0;2.018;10.59;1.739;0.492;0.81;12.134;2.7;1.077;2.796;6.291;0;0.589;0.13;1.034;0;0.496;1.075;4.766;0.75;0.718;8.314;5.552;2.977;0;0.687;2.825;0.109;3.269;16
KOTA PALU;0.916;1.366;1.97;3.041;0.136;2.154;0.436;0.466;1.729;0.968;2.685;0.077;0.904;0.642;1.166;0.81;0;0.741;2.723;0.51;0;1.745;0.069;0.09;0.102;5.927;1.911;0.527;0.598;0.39;1.041;1.652;1.283;3.788;0.111
BULUKUMBA;1.221;1.155;0.613;1.879;0;0.672;1.742;1.364;0.18;0.636;0.756;0;2.946;0.626;1.568;0;0;0.33;0.973;1.152;0;1.316;0.319;0.034;0.47;5.532;2.033;0.579;0.711;0;0.306;0.308;0.305;1.298;0
WATAMPONE;0.454;0;0.265;1.047;0;0;0.948;1.827;0;0.994;2.359;0;0.508;0.517;1.312;0;0;0.504;0.558;1.582;0;0.428;0.111;0.116;0.144;4.437;1.654;0;0;0;0.24;0.069;0.366;0.518;0
KAB WAJO;2.166;3.773;0.82;2.856;0.592;0.508;2.103;4.217;1.74;4.951;0;0.648;0.639;3.275;2.297;4.428;7.252;0.716;2.759;3.146;0;1.539;0.122;0.568;0;8.497;3.399;2.002;4.377;0;0.758;1.479;0.704;0;0
KAB SIDENRENG RAPPANG;0.777;1.272;0.03;0;0;0.052;0.404;0.293;0.07;0.236;0;0;1.231;0.313;0.576;0;0;0.749;0.94;3.053;0;0.04;0.013;0.073;0;5.501;0.911;1.216;1.72;0;0.711;3.985;0.175;0;16.13
KAB LUWU TIMUR;0.522;1.636;0.069;0.462;0.02;0;1.363;4.882;4.002;0.981;0;4.646;1.428;1.737;2.368;0;0;1.311;0;1.21;0;2.847;0.456;3.825;0;1.617;0.916;1.002;1.859;0;1.146;1.891;0.639;2.48;0
KOTA MAKASSAR;1.063;1.211;1.809;1.976;0.814;1.81;0.961;0.709;1.156;0.521;1.016;0.965;1.135;2.088;0.378;1.947;14.72;0.721;2.324;1.133;0;0.436;0.076;0.524;0.178;3.68;0.979;1.341;2.699;0.025;1.411;0.758;0.407;5.868;0.394
KOTA PARE PARE;1.115;0.03;0.715;0.922;1.094;1.632;0.814;1.529;3.671;1.542;2.816;1.62;1.65;7.732;1.78;1.857;24.26;0.61;1.717;2.518;0;0.353;0.746;3.555;0.212;2.783;3.015;0.962;1.705;0;3.459;2.443;4.924;0.899;0.536
KOTA PALOPO;0.831;0.163;0.21;0.062;0.072;0.426;0.49;1.104;0;1.025;0.947;0.355;0.162;0.085;0.186;0;0;0.187;0.384;0.416;0;0.841;0.509;3.695;0.112;2.91;1.78;0.868;0.91;0.18;1.238;1.231;0.53;3.031;6.99
KAB KONAWE;0.616;0.827;0.09;0.654;0;0;0.122;0;0.024;0.253;0;2.749;0.388;3.902;0.958;8.821;10.764;1.215;0.216;1.188;0;1.88;1.922;8.41;0;1.769;1.344;0.261;0.284;0;1.215;4.374;0.732;0;2.86
KAB KOLAKA;0.313;0.756;0.07;1.463;0;0;2.485;9.256;0;3.177;1.451;7.572;0.911;0.257;1.411;0;0;1.921;0.083;1.089;0;2.86;0.435;0.895;0;2.932;2.807;3.689;3.959;0;1.757;0.755;0.894;9.509;3.286
KOTA KENDARI;0.449;7.26;4.026;3.653;7.678;3.024;0.361;0.289;2.165;1.031;2.399;0.864;0.508;0.429;1.241;3.61;0;0.676;1.337;0.692;0;1.854;0.584;2.351;0.12;2.681;2.306;1.435;0.624;0;1.367;2.625;0.534;4.832;1.577
KOTA BAU BAU;1.566;1.374;1.07;25.391;0.088;0;0.286;1.006;0.422;0.242;0.841;7.208;1.178;0.438;1.83;0;0.552;0.681;0.991;0.902;0;1.618;0.948;2.014;0.094;1.388;2.317;4.693;2.181;36;2.176;3.387;0.842;2.952;2.488
KAB GORONTALO;1.42;14.901;0.166;0.96;0.014;0.06;1.322;0.631;3.502;0.341;0;3.496;2.056;0.229;0.63;0.42;0;1.466;0;0.516;0;2.228;1.25;5.126;0;1.028;3.453;1.499;0;0;0.158;0.683;0.106;0.748;7.7
KOTA GORONTALO;0.808;1.121;0.914;2.774;0.94;0.156;1.809;0.409;0.22;3.444;0;0;1.992;4.848;2.39;6.72;8.13;0.342;0.114;0.479;2.283;1.468;1.154;3.599;0.256;6.006;7.006;2.718;3.851;0;0.46;2.521;0.583;4.204;0.8
KAB MAJENE;2.814;1.509;0.213;0;0;0.45;0.621;0.677;5.151;1.058;1.367;0.583;0.918;2.526;2.823;4.329;0;0.253;1.066;1.302;0;0.108;0.26;1.124;0;1.01;6.312;4.749;7.771;0;0.914;1.345;0.569;1.558;6.963
MAMUJU;2.875;1.593;2.351;3.66;0.361;2.723;0.875;2.026;0.593;0.476;1.109;1.629;1.243;2.401;3.764;0;0;0.253;1.692;3.579;0;0.094;0.215;1.317;0.128;2.633;2.241;0.944;3.038;0;0.575;2.672;0.306;3.433;0
KAB MALUKU TENGAH;3.666;4.967;0;0;0;0;1.026;2.952;4.032;4.725;2.324;2.678;1.671;10.393;29.309;0;0;0.726;0.03;0.402;3.879;0.897;0.606;3.545;0;8.027;6.798;3.015;3.279;0;0.984;0.329;1.084;0.672;10.859
KOTA AMBON;0.454;1.824;2.161;7.098;3.444;0;2.198;4.258;4.406;0.57;1.327;11.398;1.444;3.11;2.067;9.598;0.848;1.295;0.37;0.477;0;2.262;0.196;1.529;0.356;4.068;4.899;2.87;3.25;4.749;2.453;2.551;0.519;7.558;2.545
KOTA TUAL;1.286;1.145;0;0;0;0;1.322;9.556;1.514;6.669;11.72;15.689;2.203;0.274;0.189;1.665;0;1.261;2.23;0.586;0.16;2.147;0.988;6.54;0;2.023;5.819;0.872;1.017;0;2.037;2.599;1.405;3.468;13.316
KAB HALMAHERA TENGAH;2.549;3.213;0.349;0.046;0.426;0;0.799;0;0;0;0;4.485;0.507;3.591;5.16;2;0;0.422;0.44;1.483;0;0.754;0.985;10.198;0;2.235;6.876;5.312;5.312;0;1.714;3.594;1.377;5.568;0
KOTA TERNATE;4.1;2.607;2.542;1.669;7.401;0.33;0.77;0.86;2.109;2.519;2.926;0;1.07;0.795;1.689;0.28;0;1.101;0.121;0.693;0;3.292;0.246;1.473;0.008;3.838;2.796;0.726;1.545;0;2.068;0.947;0.97;3.785;2.958
MANOKWARI;0.241;0.471;1.508;3.019;1.371;0.645;1.318;0.232;0.226;0.546;0.908;1.163;3.17;0.61;0.47;0;1.348;0.5;0.733;0.264;0;0.575;0.121;0.893;0.018;2.747;3.057;3.575;0.697;0;3.664;2.73;1.276;8.443;3.253
KAB SORONG;0.463;1.039;0.207;0.381;0.516;0;2.93;1.474;1.75;0.65;0.471;7.884;7.383;2.933;5.004;0;0;0.23;0.562;1.481;0;0.236;0.024;0.133;0;1.395;0.843;0.096;0.162;0;0.931;0;1.226;1.728;0
KAB SORONG SELATAN;3.872;0.964;0.498;2.268;0.348;0;3.487;2.41;0;6.073;0;0;4.107;1.302;2.331;0;0;0.336;0;2.405;0;0.505;0.183;3.953;0;3.395;9.837;1.889;9.869;0;0.412;1.584;0.363;0.031;7.35
KOTA SORONG;2.873;3.935;2.472;3.362;3.673;1.116;0.905;3.196;3.293;1.018;2.718;6.943;1.31;1.726;2.793;0;0;0.474;1.008;0.28;0;0.148;0.031;0.241;0;2.361;2.718;5.105;6.962;0;3.672;2.207;0.736;7.986;3.659
KOTA JAYAPURA;0.339;2.477;4.736;1.672;12.407;3.096;0.394;2.263;0.626;1.104;1.117;0;0.729;1.681;1.2;0;0;0.517;0.5;1.31;0.315;2.117;0.636;3.731;0;4.409;1.252;0.382;0.589;0;2.036;2.264;0.485;6.478;1.246
MERAUKE;1.33;3.911;2.721;10.246;0.258;2.222;0.641;0.221;3.538;0.56;3.453;1.079;1.258;5.692;4.157;5.764;10.812;0.658;0.19;4.14;2.79;0.094;0.795;4.433;0;5.106;6.405;3.173;3.791;0;2.236;2.025;1.039;7.724;3.849
TIMIKA;1.403;1.782;0.518;1.303;0.052;0;2.434;3.371;3.601;2.553;6.84;5.359;1.512;3.861;2.806;2.998;1.972;2.218;0.184;6.114;0;3.984;0.921;1.653;0.795;9.154;6.698;1.308;1.932;2.372;0.357;4.706;1.3;10.38;8.098
KAB NABIRE;2.498;4.667;0.73;1.102;1.453;0.399;3.626;0;4.892;2.336;0;0;3.864;0.838;1.08;1.387;0;2.622;1.308;1.537;0;4.276;0.578;3.68;0;4.375;6.328;5.61;5.802;0;1.806;2.415;0.501;5.957;4.905
KAB JAYAWIJAYA;3.039;0.846;0.728;0.988;0.86;0;1.206;5.735;0.468;3.273;2.05;10.507;2.74;1.949;4.419;8.242;4.446;1.908;0;1.588;0;3.908;1.096;5.17;0;0.37;1.466;2.96;3.069;0;1.518;0.229;1.103;3.005;3.898
